,Dominant_Topic,Topic_Perc_Contrib,Keywords
0,2.0,0.9426000118255615,"line, organization, write, get, article, bike, go, make, good, time"
1,1.0,0.7487999796867371,"team, game, hockey, play, year, win, player, nhl, line, wing"
2,0.0,0.8385000228881836,"god, say, people, think, christian, believe, know, reason, write, evidence"
3,2.0,0.6992999911308289,"line, organization, write, get, article, bike, go, make, good, time"
4,2.0,0.7452999949455261,"line, organization, write, get, article, bike, go, make, good, time"
5,2.0,0.847000002861023,"line, organization, write, get, article, bike, go, make, good, time"
6,2.0,0.7305999994277954,"line, organization, write, get, article, bike, go, make, good, time"
7,0.0,0.9916999936103821,"god, say, people, think, christian, believe, know, reason, write, evidence"
8,1.0,0.6459000110626221,"team, game, hockey, play, year, win, player, nhl, line, wing"
9,1.0,0.5701000094413757,"team, game, hockey, play, year, win, player, nhl, line, wing"
10,2.0,0.7768999934196472,"line, organization, write, get, article, bike, go, make, good, time"
11,2.0,0.9429000020027161,"line, organization, write, get, article, bike, go, make, good, time"
12,2.0,0.8443999886512756,"line, organization, write, get, article, bike, go, make, good, time"
13,0.0,0.44279998540878296,"god, say, people, think, christian, believe, know, reason, write, evidence"
14,0.0,0.7929999828338623,"god, say, people, think, christian, believe, know, reason, write, evidence"
15,2.0,0.8104000091552734,"line, organization, write, get, article, bike, go, make, good, time"
16,0.0,0.8834999799728394,"god, say, people, think, christian, believe, know, reason, write, evidence"
17,0.0,0.8784999847412109,"god, say, people, think, christian, believe, know, reason, write, evidence"
18,2.0,0.7989000082015991,"line, organization, write, get, article, bike, go, make, good, time"
19,0.0,0.9860000014305115,"god, say, people, think, christian, believe, know, reason, write, evidence"
20,2.0,0.875,"line, organization, write, get, article, bike, go, make, good, time"
21,0.0,0.9108999967575073,"god, say, people, think, christian, believe, know, reason, write, evidence"
22,0.0,0.673799991607666,"god, say, people, think, christian, believe, know, reason, write, evidence"
23,0.0,0.727400004863739,"god, say, people, think, christian, believe, know, reason, write, evidence"
24,1.0,0.4787999987602234,"team, game, hockey, play, year, win, player, nhl, line, wing"
25,1.0,0.7060999870300293,"team, game, hockey, play, year, win, player, nhl, line, wing"
26,2.0,0.6504999995231628,"line, organization, write, get, article, bike, go, make, good, time"
27,0.0,0.8675000071525574,"god, say, people, think, christian, believe, know, reason, write, evidence"
28,1.0,0.5888000130653381,"team, game, hockey, play, year, win, player, nhl, line, wing"
29,0.0,0.9337999820709229,"god, say, people, think, christian, believe, know, reason, write, evidence"
30,0.0,0.9435999989509583,"god, say, people, think, christian, believe, know, reason, write, evidence"
31,2.0,0.656499981880188,"line, organization, write, get, article, bike, go, make, good, time"
32,2.0,0.4474000036716461,"line, organization, write, get, article, bike, go, make, good, time"
33,0.0,0.9315999746322632,"god, say, people, think, christian, believe, know, reason, write, evidence"
34,0.0,0.5390999913215637,"god, say, people, think, christian, believe, know, reason, write, evidence"
35,1.0,0.8137000203132629,"team, game, hockey, play, year, win, player, nhl, line, wing"
36,2.0,0.9836999773979187,"line, organization, write, get, article, bike, go, make, good, time"
37,0.0,0.9049000144004822,"god, say, people, think, christian, believe, know, reason, write, evidence"
38,0.0,0.9790999889373779,"god, say, people, think, christian, believe, know, reason, write, evidence"
39,2.0,0.45190000534057617,"line, organization, write, get, article, bike, go, make, good, time"
40,2.0,0.7480000257492065,"line, organization, write, get, article, bike, go, make, good, time"
41,2.0,0.8564000129699707,"line, organization, write, get, article, bike, go, make, good, time"
42,1.0,0.5849999785423279,"team, game, hockey, play, year, win, player, nhl, line, wing"
43,2.0,0.42149999737739563,"line, organization, write, get, article, bike, go, make, good, time"
44,2.0,0.9496999979019165,"line, organization, write, get, article, bike, go, make, good, time"
45,0.0,0.9348999857902527,"god, say, people, think, christian, believe, know, reason, write, evidence"
46,2.0,0.7233999967575073,"line, organization, write, get, article, bike, go, make, good, time"
47,1.0,0.5167999863624573,"team, game, hockey, play, year, win, player, nhl, line, wing"
48,0.0,0.506600022315979,"god, say, people, think, christian, believe, know, reason, write, evidence"
49,2.0,0.9603999853134155,"line, organization, write, get, article, bike, go, make, good, time"
50,0.0,0.8565999865531921,"god, say, people, think, christian, believe, know, reason, write, evidence"
51,2.0,0.435699999332428,"line, organization, write, get, article, bike, go, make, good, time"
52,0.0,0.8945000171661377,"god, say, people, think, christian, believe, know, reason, write, evidence"
53,0.0,0.9789999723434448,"god, say, people, think, christian, believe, know, reason, write, evidence"
54,2.0,0.7139999866485596,"line, organization, write, get, article, bike, go, make, good, time"
55,2.0,0.8360000252723694,"line, organization, write, get, article, bike, go, make, good, time"
56,0.0,0.8934000134468079,"god, say, people, think, christian, believe, know, reason, write, evidence"
57,2.0,0.954800009727478,"line, organization, write, get, article, bike, go, make, good, time"
58,1.0,0.5590000152587891,"team, game, hockey, play, year, win, player, nhl, line, wing"
59,1.0,0.6897000074386597,"team, game, hockey, play, year, win, player, nhl, line, wing"
60,2.0,0.7989000082015991,"line, organization, write, get, article, bike, go, make, good, time"
61,0.0,0.7426999807357788,"god, say, people, think, christian, believe, know, reason, write, evidence"
62,0.0,0.9459999799728394,"god, say, people, think, christian, believe, know, reason, write, evidence"
63,2.0,0.9787999987602234,"line, organization, write, get, article, bike, go, make, good, time"
64,2.0,0.5012999773025513,"line, organization, write, get, article, bike, go, make, good, time"
65,0.0,0.8141999840736389,"god, say, people, think, christian, believe, know, reason, write, evidence"
66,1.0,0.7493000030517578,"team, game, hockey, play, year, win, player, nhl, line, wing"
67,0.0,0.6748999953269958,"god, say, people, think, christian, believe, know, reason, write, evidence"
68,0.0,0.7937999963760376,"god, say, people, think, christian, believe, know, reason, write, evidence"
69,2.0,0.8952000141143799,"line, organization, write, get, article, bike, go, make, good, time"
70,2.0,0.49559998512268066,"line, organization, write, get, article, bike, go, make, good, time"
71,2.0,0.9204999804496765,"line, organization, write, get, article, bike, go, make, good, time"
72,0.0,0.9592999815940857,"god, say, people, think, christian, believe, know, reason, write, evidence"
73,2.0,0.9430999755859375,"line, organization, write, get, article, bike, go, make, good, time"
74,0.0,0.7321000099182129,"god, say, people, think, christian, believe, know, reason, write, evidence"
75,2.0,0.8999000191688538,"line, organization, write, get, article, bike, go, make, good, time"
